File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Jay\Desktop\Code\BBCInventathonNode\index.js,48,43,28,3,5,25,0,169,0,3
C:\Users\Jay\Desktop\Code\BBCInventathonNode\LocMetrics.html,1,1,0,0,0,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\LocMetricsFunctions.html,1,1,0,0,0,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\README.md,1,1,0,0,0,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\package-lock.json,555,554,101,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\package.json,25,24,5,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\color.js,59,47,32,7,11,4,1,34,0,14
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\js\nanobar.min.js,2,1,30,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\assets\nanobar\demos.html,83,78,31,0,5,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\html\game.html,216,203,83,13,13,44,0,292,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\index.js,232,81,26,27,33,0,118,405,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\HISTORY.md,213,151,0,0,62,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\README.md,136,94,3,4,40,12,2,41,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\accepts\package.json,114,113,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\index.js,29,21,6,3,6,0,2,16,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\README.md,116,79,11,8,30,13,7,66,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\package.json,104,103,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\after\test\after-test.js,121,92,38,2,26,0,3,9,1,3
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\array-flatten\array-flatten.js,65,30,10,9,10,0,25,77,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\array-flatten\README.md,44,29,1,0,13,9,2,32,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\array-flatten\package.json,97,96,15,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\arraybuffer.slice\index.js,30,18,16,8,6,0,6,20,6,20
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\arraybuffer.slice\README.md,18,12,4,0,6,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\arraybuffer.slice\package.json,73,72,13,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\arraybuffer.slice\test\slice-buffer.js,228,185,158,27,37,0,6,8,3,4
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\index.js,86,30,29,2,16,0,40,102,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\History.md,13,8,0,0,5,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\Readme.md,35,22,6,0,12,0,1,4,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\component.json,12,11,2,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\package.json,79,78,14,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\backo2\test\index.js,18,14,12,0,4,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64-arraybuffer\README.md,21,14,0,0,7,3,0,3,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64-arraybuffer\package.json,98,97,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64-arraybuffer\lib\base64-arraybuffer.js,68,47,37,8,13,0,8,27,7,19
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id\README.md,19,10,2,0,9,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id\package.json,90,89,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\base64id\lib\base64id.js,104,56,44,15,23,2,25,81,6,10
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\example.js,10,7,7,0,3,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\index.js,39,21,14,2,9,0,9,17,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\History.md,16,9,0,0,7,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\Readme.md,61,45,8,0,16,1,0,2,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\better-assert\package.json,101,100,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob\index.js,97,59,48,19,18,0,20,97,3,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob\README.md,15,10,2,0,5,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob\package.json,78,77,14,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\blob\test\index.js,95,85,82,13,10,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\index.js,158,69,16,15,29,0,60,150,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\HISTORY.md,523,209,0,0,39,1,275,750,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\README.md,423,195,6,3,85,19,143,812,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\package.json,130,129,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\read.js,190,111,21,20,29,0,50,148,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\json.js,175,88,22,22,30,1,57,202,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\raw.js,102,54,12,13,20,0,28,77,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\text.js,122,64,15,15,23,0,35,96,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\lib\types\urlencoded.js,280,159,37,42,53,0,68,206,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\karma.conf.js,71,7,0,0,6,1,58,181,2,11
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\node.js,2,1,1,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\CHANGELOG.md,353,261,0,0,92,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\README.md,313,219,33,3,86,16,8,71,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\component.json,20,19,2,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\package.json,125,124,20,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\browser.js,186,86,54,17,29,0,71,314,5,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\debug.js,203,99,82,22,39,2,65,254,6,26
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\index.js,11,5,4,1,2,0,4,18,4,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\debug\src\node.js,247,118,91,20,48,1,81,355,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\CHANGELOG.md,176,138,0,0,38,84,0,420,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\README.md,441,318,226,9,110,7,13,45,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\.jscs.json,177,114,18,0,63,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\package.json,122,121,19,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\dist\qs.js,597,482,356,99,104,13,11,107,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\formats.js,19,16,10,2,3,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\index.js,12,9,6,0,3,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\parse.js,168,125,98,23,34,0,9,62,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\stringify.js,208,179,100,29,29,5,0,10,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\lib\utils.js,183,146,113,45,35,8,2,35,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\index.js,8,4,4,0,4,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\parse.js,520,436,652,3,84,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\stringify.js,568,500,535,13,68,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\body-parser\node_modules\qs\test\utils.js,23,15,38,0,8,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\index.js,158,72,56,17,28,0,58,211,6,17
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\History.md,71,47,0,0,24,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\Readme.md,115,71,11,0,37,7,7,23,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\bytes\package.json,121,120,21,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\index.js,11,9,10,1,2,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\History.md,11,6,0,0,5,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\Readme.md,45,30,12,0,15,1,0,1,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\callsite\package.json,78,77,13,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\index.js,24,9,8,4,4,0,11,29,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\History.md,14,9,0,0,5,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\Readme.md,64,46,18,3,18,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\component.json,14,13,2,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-bind\package.json,82,81,15,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\index.js,164,72,61,20,26,0,66,192,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\History.md,69,44,0,0,25,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\Readme.md,75,47,10,0,28,1,0,1,0,1
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-emitter\package.json,219,218,48,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\index.js,7,6,7,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\History.md,6,3,0,0,3,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\Readme.md,25,15,4,0,10,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\component.json,11,10,2,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\package.json,79,78,15,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\component-inherit\test\inherit.js,21,12,10,0,6,0,3,5,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\index.js,446,173,43,39,89,2,184,779,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\HISTORY.md,51,31,0,0,20,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\README.md,142,101,4,1,39,14,2,18,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-disposition\package.json,111,110,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\index.js,217,98,24,25,42,0,77,306,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\HISTORY.md,15,9,0,0,6,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\README.md,93,63,3,0,30,10,0,10,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\content-type\package.json,105,104,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\index.js,196,101,74,28,38,0,57,207,6,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\HISTORY.md,119,79,0,0,40,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\README.md,221,149,27,2,65,20,7,58,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie\package.json,108,107,18,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\index.js,52,20,14,7,9,0,23,67,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\History.md,39,24,0,0,15,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\Readme.md,42,30,7,0,12,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\cookie-signature\package.json,93,92,16,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\karma.conf.js,71,7,0,0,6,1,58,181,2,11
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\node.js,2,1,1,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\CHANGELOG.md,358,264,0,0,94,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\README.md,313,219,33,3,86,16,8,71,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\component.json,20,19,2,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\package.json,132,131,20,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\browser.js,186,86,54,17,29,0,71,314,5,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\debug.js,203,99,82,22,39,2,65,254,6,26
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\index.js,11,5,4,1,2,0,4,18,4,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\debug\src\node.js,247,118,91,20,48,1,81,355,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\index.js,521,303,69,68,121,6,97,311,8,18
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\History.md,91,61,0,0,30,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\Readme.md,284,202,7,2,72,14,10,68,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\package.json,115,114,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\browser\index.js,78,35,9,7,18,0,25,86,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\compat\callsite-tostring.js,104,66,19,13,21,0,17,46,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\compat\event-listener-count.js,23,5,1,1,6,0,12,36,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\depd\lib\compat\index.js,80,39,9,5,20,0,21,48,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\destroy\index.js,76,28,8,9,17,0,31,72,5,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\destroy\README.md,61,45,0,0,15,13,1,16,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\destroy\package.json,107,106,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ee-first\index.js,96,52,11,9,21,0,23,74,5,12
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ee-first\README.md,81,61,2,0,17,13,3,21,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\ee-first\package.json,99,98,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\index.js,61,10,1,1,12,0,39,183,5,13
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\HISTORY.md,10,6,0,0,4,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\README.md,125,84,2,0,33,12,8,41,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\encodeurl\package.json,113,112,17,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\index.js,5,3,1,1,2,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\History.md,609,424,0,0,185,2,0,11,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\README.md,540,421,39,1,115,17,4,84,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\package.json,136,135,21,0,1,0,0,0,0,0
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\engine.io.js,127,34,31,6,27,0,66,226,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\server.js,519,317,259,47,78,0,124,390,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\socket.js,484,284,246,29,82,0,118,390,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transport.js,129,43,41,2,26,0,60,149,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\index.js,37,14,10,3,9,0,14,26,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\polling-jsonp.js,76,28,24,2,16,0,32,113,3,5
C:\Users\Jay\Desktop\Code\BBCInventathonNode\node_modules\engine.io\lib\transports\polling-xhr.js,70,28,26,3,15,0,27,62,3,5
